Index,Movie,Distributor,Genre,7-day Gross,14-day Gross,Total US Gross,International Gross,US DVD Sales,Budget
1,The Texas Chainsaw Massacre: The Beginning,New Line,Horror,$22Ê707Ê121,$32Ê109Ê139,$39Ê517Ê763,$11Ê000Ê000,$15Ê909Ê367,$16Ê000Ê000
2,Year of the Dog,Paramount Vantage,Drama,$141Ê803,$318Ê598,$1Ê540Ê141,,,
3,War,Lionsgate,Action,$12Ê839Ê402,,$22Ê466Ê994,$18Ê200Ê000,$27Ê040Ê983,$25Ê000Ê000
4,Stomp the Yard,Sony Pictures,Drama,$28Ê263Ê594,$42Ê853Ê277,$61Ê356Ê221,$15Ê000Ê000,$33Ê166Ê898,$14Ê000Ê000
5,The Illusionist,Freestyle Releasing,Drama,,,$39Ê868Ê642,$44Ê407Ê533,$38Ê189Ê217,$16Ê500Ê000
6,Pirates of the Caribbean: At World's End,Buena Vista,Adventure,$173Ê339Ê068,$232Ê297Ê818,$309Ê420Ê425,$651Ê576Ê067,$295Ê701Ê718,$300Ê000Ê000
7,Sicko,Weinstein Co.,Documentary,,,$24Ê538Ê513,$9Ê000Ê000,$17Ê375Ê592,$9Ê000Ê000
8,Babel,Paramount Vantage,Drama,,,$34Ê302Ê837,$101Ê000Ê000,$31Ê456Ê221,$20Ê000Ê000
9,Ghost Rider,Sony Pictures,Action,$58Ê960Ê097,$83Ê257Ê376,$115Ê802Ê596,$121Ê900Ê000,$103Ê699Ê106,$120Ê000Ê000
10,Saw III,Lionsgate,Horror,$44Ê576Ê835,$63Ê279Ê443,$80Ê238Ê724,$83Ê638Ê091,$47Ê124Ê617,$10Ê000Ê000
11,World Trade Center,Paramount Pictures,Drama,,,$70Ê278Ê893,$93Ê000Ê000,$36Ê856Ê697,$65Ê000Ê000
12,Beerfest,Warner Bros.,Comedy,$10Ê151Ê951,$15Ê786Ê241,$19Ê185Ê184,$974Ê132,$28Ê372Ê842,
13,Ocean's Thirteen,Warner Bros.,Adventure,$50Ê705Ê336,$79Ê668Ê309,$117Ê144Ê465,$194Ê600Ê000,$47Ê716Ê836,$85Ê000Ê000
14,Amazing Grace,Samuel Goldwyn Films,Drama,$5Ê200Ê372,,$21Ê214Ê987,$6Ê771Ê432,$25Ê275Ê167,
15,Shrek the Third,Paramount Pictures,Adventure,$150Ê338Ê458,$227Ê906Ê792,$322Ê719Ê944,$476Ê238Ê218,$174Ê342Ê569,$160Ê000Ê000
16,The Holiday,Sony Pictures,Romantic Comedy,$17Ê110Ê339,$30Ê092Ê962,$63Ê280Ê000,$141Ê910Ê324,$71Ê202Ê459,$85Ê000Ê000
17,Deck the Halls,20th Century Fox,Comedy,,,$35Ê093Ê569,$12Ê137Ê501,$28Ê291Ê848,
18,The Namesake,Fox Searchlight,Drama,$361Ê518,$1Ê333Ê480,$13Ê610Ê521,$6Ê569Ê588,$9Ê345Ê626,
19,DŽjˆ Vu,Buena Vista,Thriller/Suspense,,,$64Ê038Ê616,$117Ê000Ê000,$40Ê473Ê916,$80Ê000Ê000
20,Running With Scissors,Sony Pictures,Comedy,,$3Ê660Ê628,$6Ê775Ê659,$437Ê970,$1Ê877Ê732,$12Ê000Ê000
21,Ratatouille,Buena Vista,Comedy,$80Ê517Ê305,$124Ê984Ê886,$206Ê445Ê654,$418Ê000Ê000,$189Ê036Ê784,$150Ê000Ê000
22,The Hills Have Eyes II,Fox Searchlight,Horror,$11Ê883Ê609,$17Ê579Ê582,$20Ê804Ê166,$16Ê662Ê372,$30Ê466Ê195,$15Ê000Ê000
23,Fast Food Nation,Fox Searchlight,Drama,$580Ê363,$853Ê713,$1Ê005Ê539,,,
24,Nancy Drew,Warner Bros.,Thriller/Suspense,$11Ê687Ê594,$19Ê334Ê739,$25Ê584Ê685,$5Ê000Ê000,$10Ê392Ê745,
25,28 Weeks Later,20th Century Fox,Horror,$13Ê460Ê756,$21Ê121Ê250,$28Ê638Ê916,$35Ê599Ê524,$24Ê333Ê111,
26,The Condemned,Lionsgate,Action,$4Ê947Ê445,$6Ê769Ê217,$7Ê371Ê706,,,
27,Employee of the Month,Lionsgate,Comedy,$14Ê310Ê416,$21Ê038Ê727,$28Ê444Ê855,$9Ê672Ê863,$21Ê061Ê839,$10Ê000Ê000
28,Man of the Year,Universal,Comedy,$15Ê480Ê880,$24Ê146Ê540,$37Ê442Ê180,,,
29,The Bourne Ultimatum,Universal,Action,$98Ê673Ê300,$144Ê820Ê320,$227Ê471Ê070,$214Ê690Ê492,$123Ê288Ê965,$130Ê000Ê000
30,All the King's Men,Sony Pictures,Drama,$4Ê686Ê955,,$7Ê221Ê458,$2Ê300Ê000,,$55Ê000Ê000
31,Turistas,20th Century Fox,Thriller/Suspense,$4Ê540Ê030,$6Ê437Ê413,$7Ê027Ê762,$7Ê293Ê308,$3Ê507Ê046,$10Ê000Ê000
